customer_id,annual_income,monthly_inhand_salary,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,type_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,payment_behaviour,monthly_balance,snapshot_date,credit_history_age
cus_0x1069,58637.34,,,,,3,"personal loan, auto loan, not specified",,17,12.56,,standard,208.8,,yes,,165.21061289035896,high_spent_small_value_payments,434.8488737169301,2023-01-01,
cus_0x107c,,,,,,4,"payday loan, mortgage loan, home equity loan, auto loan",,17,10.5,,bad,1920.25,,yes,,430.88393873056435,low_spent_small_value_payments,45.080530624405014,2023-11-01,
cus_0x107e,75095.91,,,,,4,"personal loan, payday loan, student loan, home equity loan",,10,20.53,,standard,989.71,,yes,,,low_spent_medium_value_payments,234.06656029063686,2024-11-01,
cus_0x108a,36982.36,,,,,6,"student loan, credit-builder loan, home equity loan, debt consolidation loan, payday loan, personal loan",,15,24.61,,unknown,4882.12,,yes,,275.8074536448028,low_spent_medium_value_payments,84.70883763399478,2023-05-01,
cus_0x109b,31641.93,,,,,2,"personal loan, student loan",,12,3.3699999999999988,,standard,583.6,,no,,84.09047925785762,low_spent_small_value_payments,344.6589324314184,2023-10-01,
cus_0x109f,130435.86000000002,,,,,1,home equity loan,,1,12.85,,good,942.71,,nm,,1070.730679227028,low_spent_medium_value_payments,81.1419359951725,2025-01-01,
cus_0x10a9,17603.265,,,,,0,"",,12,10.27,,unknown,836.66,,no,,20.63448928511361,high_spent_large_value_payments,362.1593857148864,2024-10-01,
cus_0x10aa,114432.03,,,,,0,"",,9,7.98,,good,444.51,,no,,101.64930256046962,high_spent_large_value_payments,1065.5509474395303,2023-02-01,
cus_0x10ac,16718.645,,,,,3,"credit-builder loan, home equity loan, debt consolidation loan",,11,18.45,,unknown,853.41,,no,,36.41309208442618,unknown,319.6470136821514,2024-08-01,
cus_0x10bb,60830.92,,,,,4,"payday loan, home equity loan, auto loan, debt consolidation loan",,3,7.41,,unknown,133.63,,no,,404.04581806804174,low_spent_small_value_payments,230.57916826614724,2023-03-01,
cus_0x10d7,15968.14,,,,,5,"personal loan, auto loan, mortgage loan, credit-builder loan, student loan",,21,17.26,,bad,4912.8,,yes,,128.5986713486603,low_spent_medium_value_payments,211.47204376821247,2023-12-01,
cus_0x10df,9929.235,,,,,3,"not specified, auto loan, student loan",,,11.5,,standard,2328.08,,yes,,74.96443136195327,low_spent_small_value_payments,260.9159334781246,2024-11-01,
cus_0x10e2,43133.85000000001,,,,,5,"personal loan, auto loan, not specified, home equity loan, credit-builder loan",,24,6.41,,bad,2504.1,,yes,,67.89250966068741,high_spent_large_value_payments,364.0689853638198,2025-01-01,
cus_0x10e7,64933.76,,,,,4,"mortgage loan, auto loan, home equity loan, debt consolidation loan",,19,13.04,,standard,,,yes,,186.14666535889234,high_spent_medium_value_payments,406.9754192189962,2024-11-01,
cus_0x10ee,12660.16,,,,,0,"",,14,15.1,,standard,456.02,,no,,,unknown,338.2549367415748,2023-06-01,
cus_0x10f9,150131.68,,,,,0,"",,0,7.49,,good,1138.36,,no,,180.7591380504137,high_spent_medium_value_payments,1328.93819528292,2023-05-01,
cus_0x1108,117499.47,,,,,0,"",,8,8.32,,good,337.9,,no,,334.3979770998342,low_spent_medium_value_payments,923.6642729001657,2024-07-01,
cus_0x1109,76284.72,,,,,6,"home equity loan, credit-builder loan, auto loan, not specified, payday loan, mortgage loan",,12,6.69,,standard,1957.32,,yes,,163.64946924134182,high_spent_medium_value_payments,508.4975284737153,2024-06-01,
cus_0x1119,56301.9,,,,,1,not specified,,18,14.73,,unknown,2161.23,,yes,,310.84444036433723,low_spent_medium_value_payments,378.41871154829084,2023-05-01,
cus_0x111b,70277.22,,,,,2,"not specified, home equity loan",,9,4.050000000000002,,good,762.48,,no,,496.79119085081146,low_spent_large_value_payments,186.61820273684376,2024-10-01,
cus_0x112e,20162.26,,,,,3,"home equity loan, personal loan, auto loan",,10,1.71,,standard,660.26,,no,,209.33968673482013,low_spent_small_value_payments,201.63426487440918,2024-04-01,
cus_0x1134,15279.545,,,,,3,"credit-builder loan, mortgage loan, debt consolidation loan",,4,6.99,,good,168.35,,no,,17.680099486789082,unknown,349.81392850433366,2023-10-01,
cus_0x1135,83358.3,,,,,2,"auto loan, not specified",,6,2.66,,unknown,727.88,,no,,243.03652769348827,high_spent_medium_value_payments,526.6799675252644,2023-03-01,
cus_0x1138,154868.24,,,,,0,"",,3,4.16,,good,242.75,,no,,759.5938772793154,unknown,825.5747893873512,2024-09-01,
cus_0x113e,34476.68,,,,,6,"personal loan, student loan, mortgage loan, not specified, auto loan, debt consolidation loan",,17,4.48,,bad,1976.63,,yes,,,low_spent_medium_value_payments,147.55738128895217,2023-02-01,
cus_0x1140,1.4532812E7,,,,,6,"credit-builder loan, debt consolidation loan, personal loan, mortgage loan, payday loan, auto loan",,19,27.01,,bad,4128.98,,yes,,80.86351180980212,low_spent_large_value_payments,255.64522482784815,2023-02-01,
cus_0x114b,107118.96,,,,,3,"payday loan, auto loan, not specified",,8,10.49,,standard,1049.33,,yes,,815.4767928955413,low_spent_medium_value_payments,235.41521726855115,2025-01-01,
cus_0x1151,17692.27,,,,,4,"payday loan, auto loan, home equity loan, personal loan",,25,28.12,,bad,3762.64,,yes,,167.4413850143566,low_spent_small_value_payments,177.6469634366089,2024-10-01,
cus_0x1152,31316.47,,,,,2,"payday loan, personal loan",,5,5.44,,good,800.89,,no,,124.97678843365013,high_spent_small_value_payments,355.2718152011777,2024-11-01,
cus_0x1154,,,,,,2,"credit-builder loan, payday loan",,18,21.14,,bad,2869.83,,yes,,48.62391275641062,low_spent_small_value_payments,287.0973611891135,2023-06-01,
cus_0x1155,158483.48,,,,,3,"home equity loan, payday loan, personal loan",,3,2.65,,good,471.82,,nm,,870.8001476671714,low_spent_large_value_payments,344.46005942406373,2023-02-01,
cus_0x1156,10060.015,,,,,5,"student loan, home equity loan, not specified, debt consolidation loan, payday loan",,12,9.29,,standard,1971.81,,yes,,72.27556199955825,high_spent_small_value_payments,265.773573564623,2023-06-01,
cus_0x117f,,,,,,3,"mortgage loan, credit-builder loan, home equity loan",,10,11.52,,standard,1405.22,,no,,522.5572278752046,low_spent_large_value_payments,310.68157022467386,2023-11-01,
cus_0x1182,176696.88,,,,,4,"debt consolidation loan, home equity loan, payday loan, not specified",,8,4.01,,good,433.68,,no,,320.0541317814041,high_spent_large_value_payments,1022.7368432457347,2023-09-01,
cus_0x1183,134393.73,,,,,2,"credit-builder loan, mortgage loan",,,11.49,,good,945.29,,no,,178.10099644066003,high_spent_medium_value_payments,1030.3161230806306,2024-04-01,
cus_0x1184,19867.475,,,,,3,"student loan, mortgage loan, payday loan",,9,6.74,,good,707.29,,no,,23.460944042729498,unknown,313.5944656613208,2023-01-01,
cus_0x1192,16319.375,,,,,1,payday loan,,13,7.67,,standard,1275.32,,nm,,112.33986758269495,low_spent_medium_value_payments,303.2637952593456,2023-05-01,
cus_0x1197,92300.01,,,,,2,"credit-builder loan, not specified",,9,18.96,,unknown,,,yes,,220.8621525417414,low_spent_large_value_payments,581.1567885447394,2024-12-01,
cus_0x11a4,44295.54,,,,,2,"credit-builder loan, student loan",,21,8.96,,standard,1280.42,,yes,,74.61308704536044,high_spent_medium_value_payments,477.54043887222036,2023-11-01,
cus_0x11ac,69136.54,,,,,0,"",,18,7.18,,standard,478.85,,yes,,435.93700154823983,low_spent_small_value_payments,444.30083178509364,2024-08-01,
cus_0x11ae,14550.52,,,,,4,"personal loan, not specified, home equity loan, auto loan",,20,23.08,,unknown,4444.99,,yes,,123.13871021618077,low_spent_small_value_payments,210.2045926714747,2024-11-01,
cus_0x11b1,34819.83,,,,,1,student loan,,12,7.69,,unknown,905.89,,yes,,125.599605790283,high_spent_small_value_payments,380.57024808727346,2023-05-01,
cus_0x11c6,16523.745,,,,,4,"student loan, credit-builder loan, payday loan, home equity loan",,8,10.06,,good,455.49,,no,,54.26625355446494,low_spent_medium_value_payments,325.21545235498814,2023-09-01,
cus_0x11c7,36817.94,,,,,3,"home equity loan, auto loan, mortgage loan",,6,3.98,,good,1019.46,,no,,206.51433123972583,low_spent_small_value_payments,316.491917541932,2023-03-01,
cus_0x11d9,87538.24,,,,,0,"",,6,4.6,,unknown,41.82,,no,,235.8595670940916,high_spent_small_value_payments,738.1257662392418,2025-01-01,
cus_0x11e2,44986.55,,,,,1,credit-builder loan,,4,10.26,,good,753.21,,no,,43.20363344633164,high_spent_large_value_payments,542.5171477430948,2024-12-01,
cus_0x11eb,62835.08,,,,,2,"home equity loan, debt consolidation loan",,12,2.02,,unknown,306.85,,no,,230.0712676542581,high_spent_medium_value_payments,498.9703248982248,2023-07-01,
cus_0x11fc,38735.57,,,,,2,"payday loan, debt consolidation loan",,11,8.06,,good,800.94,,no,,125.36590224842124,low_spent_large_value_payments,419.48676362162905,2023-04-01,
cus_0x1207,19506.73,,,,,5,"personal loan, debt consolidation loan, student loan, auto loan, mortgage loan",,12,2.69,,bad,1594.83,,yes,,149.6877642996111,low_spent_small_value_payments,230.33427734800028,2023-12-01,
cus_0x1226,11421.51,,,,,3,"student loan, payday loan, home equity loan",,15,15.72,,unknown,1278.12,,yes,,55.88990034598506,unknown,316.296413711387,2024-04-01,
cus_0x1231,,,,,,3,"student loan, personal loan, payday loan",,8,16.7,,standard,1365.58,,yes,,106.45326410182086,high_spent_small_value_payments,248.16942817813796,2024-11-01,
cus_0x123d,7703.635,,,,,3,"auto loan, home equity loan, student loan",,19,16.05,,bad,3044.94,,yes,,49.094964194968846,low_spent_small_value_payments,274.0208958305056,2023-11-01,
cus_0x1249,9529.855,,,,,3,"not specified, payday loan, auto loan",,15,7.2,,bad,1818.36,,yes,,50.6320354592125,low_spent_small_value_payments,296.1724803453482,2024-05-01,
cus_0x124a,16861.34,,,,,3,"mortgage loan, payday loan, not specified",,8,10.77,,good,408.71,,no,,118.2143745716728,low_spent_large_value_payments,255.52379738820062,2023-07-01,
cus_0x1255,38670.08,,,,,1,credit-builder loan,,2,3.78,,good,632.29,,no,,238.10887036658627,high_spent_small_value_payments,343.9180354229496,2023-08-01,
cus_0x1258,44955.64,,,,,0,"",,9,17.2,,standard,766.63,,yes,,70.3366921622799,high_spent_medium_value_payments,567.4936411710535,2025-01-01,
cus_0x125c,32129.0,,,,,2,"personal loan, student loan",,19,16.84,,standard,2554.25,,yes,,93.27286749089956,low_spent_medium_value_payments,403.172318010871,2024-05-01,
cus_0x1278,12416.06,,,,,0,"",,15,7.1,,standard,899.73,,yes,,,low_spent_large_value_payments,340.31285383902195,2024-10-01,
cus_0x1285,10692.16,,,,,0,"",,12,10.29,,standard,1350.85,,yes,,71.94175176542643,low_spent_large_value_payments,279.75958156790693,2023-04-01,
cus_0x1288,60938.13,,,,,5,"payday loan, not specified, student loan, mortgage loan, credit-builder loan",,21,17.49,,bad,3947.24,,yes,,509.04521941935053,low_spent_large_value_payments,269.716274387424,2024-08-01,
cus_0x1290,10455.875,,,,,3,"personal loan, payday loan, credit-builder loan",,19,9.71,,good,83.16,,no,,24.490504377507985,low_spent_medium_value_payments,302.69333963299215,2024-01-01,
cus_0x1298,102080.46,,,,,3,"personal loan, debt consolidation loan, mortgage loan",,15,11.17,,standard,89.98,,yes,,412.5934587332332,unknown,453.9780066587642,2024-11-01,
cus_0x12a4,78094.28,,,,,4,"personal loan, not specified, home equity loan, auto loan",,19,6.92,,bad,1695.41,,yes,,68.31523136363974,high_spent_large_value_payments,576.6306300340561,2024-11-01,
cus_0x12a6,18158.33,,,,,3,"home equity loan, debt consolidation loan, personal loan",,16,16.52,,bad,1401.91,,yes,,142.0480554460051,unknown,240.70349862623985,2023-02-01,
cus_0x12a7,26450.59,,,,,3,"debt consolidation loan, home equity loan, auto loan",,18,11.8,,standard,952.9,,no,,19.552470959112455,high_spent_large_value_payments,354.6989221210405,2023-05-01,
cus_0x12af,33799.36,,,,,3,"personal loan, not specified, mortgage loan",,13,22.35,,standard,173.76,,yes,,235.3823394199225,low_spent_large_value_payments,253.98091626869288,2024-03-01,
cus_0x12b6,67104.12,,,,,4,"student loan, not specified, payday loan, auto loan",,25,21.54,,bad,4635.75,,yes,,,low_spent_medium_value_payments,391.6203151405448,2024-02-01,
cus_0x12b8,15906.4,,,,,5,"credit-builder loan, student loan, debt consolidation loan, home equity loan, not specified",,21,27.86,,bad,3167.74,,yes,,119.6072590468508,low_spent_small_value_payments,213.5526984801409,2024-02-01,
cus_0x12c1,85760.85,,,,,3,"student loan, home equity loan, credit-builder loan",,3,10.92,,good,695.2,,no,,515.1066585275688,low_spent_large_value_payments,300.7368935595873,2023-04-01,
cus_0x12cb,45188.52,,,,,3,"home equity loan, student loan, mortgage loan",,20,10.45,,standard,1960.28,,yes,,150.50010605555238,high_spent_small_value_payments,342.0134355163832,2024-03-01,
cus_0x12d5,62320.56,,,,,3,"debt consolidation loan, home equity loan, auto loan",,15,17.24,,unknown,3589.56,,nm,,171.51086339613434,high_spent_small_value_payments,423.9815768794014,2024-01-01,
cus_0x12dd,31754.27,,,,,2,"mortgage loan, payday loan",,,6.81,,unknown,647.94,,nm,,190.01464649213744,low_spent_small_value_payments,277.56876536254384,2023-03-01,
cus_0x12ec,45675.0,,,,,3,"home equity loan, personal loan, mortgage loan",,13,10.51,,standard,1771.8,,yes,,146.5630863778551,high_spent_medium_value_payments,332.69165781404985,2023-09-01,
cus_0x12fc,128450.32,,,,,3,"home equity loan, student loan, personal loan",,2,6.66,,good,23.79,,nm,,845.0663810926379,low_spent_medium_value_payments,367.7654206750102,2024-03-01,
cus_0x1309,106876.77,,,,,1,not specified,,20,8.24,,good,356.07,,no,,119.84314095421905,high_spent_large_value_payments,972.854028388856,2024-06-01,
cus_0x130c,9203.725,,,,,6,"student loan, mortgage loan, not specified, home equity loan, auto loan, debt consolidation loan",,21,1.8,,unknown,2338.29,,nm,,94.48429260579428,low_spent_large_value_payments,248.9163492767384,2025-01-01,
cus_0x1325,35823.96,,,,,4,"not specified, personal loan, auto loan, debt consolidation loan",,17,7.35,,bad,3029.92,,yes,,148.5160712146269,high_spent_small_value_payments,292.7811441293461,2023-01-01,
cus_0x1326,8658.18,,,,,5,"payday loan, debt consolidation loan, not specified, mortgage loan, student loan",,21,8.68,,bad,2599.69,,yes,,80.36112355665203,low_spent_small_value_payments,236.6945925980032,2023-08-01,
cus_0x132f,19514.88,,,,,0,"",,11,4.17,,unknown,881.4,,no,,99.1415414879628,high_spent_small_value_payments,343.6824585120372,2024-10-01,
cus_0x1338,20078.47,,,,,6,"student loan, auto loan, home equity loan, credit-builder loan, debt consolidation loan, personal loan",,22,25.27,,unknown,4545.35,,nm,,78.196521486097,low_spent_small_value_payments,236.1900517123333,2024-08-01,
cus_0x1340,40600.61,,,,,2,"credit-builder loan, home equity loan",,0,5.5,,good,1198.96,,no,,75.54045341818262,high_spent_small_value_payments,462.8831117171678,2023-05-01,
cus_0x1343,125280.36,,,,,4,"debt consolidation loan, student loan, home equity loan, mortgage loan",,5,11.69,,good,1388.43,,no,,145.34336201210874,high_spent_large_value_payments,859.3368617878853,2024-04-01,
cus_0x1348,28825.73,,,,,4,"auto loan, home equity loan, student loan, payday loan",,20,16.21,,standard,1310.98,,yes,,43.10917221796175,high_spent_medium_value_payments,395.2992945158149,2023-12-01,
cus_0x1355,9474.16,,,,,2,"not specified, home equity loan",,15,17.57,,bad,2370.05,,yes,,37.512947678492544,low_spent_medium_value_payments,302.03495867551976,2023-12-01,
cus_0x1358,59304.2,,,,,2,"home equity loan, debt consolidation loan",,25,2.47,,bad,1945.03,,yes,,430.3098510193045,low_spent_small_value_payments,280.0165337936698,2023-11-01,
cus_0x136b,120260.2,,,,,1,mortgage loan,,15,18.5,,standard,1436.96,,yes,,239.16096328307412,low_spent_large_value_payments,968.1522473351832,2023-03-01,
cus_0x136c,120644.88,,,,,3,"student loan, not specified, credit-builder loan",,6,10.49,,good,1437.99,,no,,80.47305212543155,high_spent_large_value_payments,906.0011552787055,2023-08-01,
cus_0x1370,10216.36,,,,,3,"mortgage loan, personal loan, student loan",,23,19.55,,bad,3703.66,,yes,,26.723716674365626,high_spent_medium_value_payments,262.33040372852776,2024-08-01,
cus_0x1375,72524.2,,,,,3,"mortgage loan, debt consolidation loan, home equity loan",,23,8.74,,bad,2699.4,,yes,,606.456526110112,low_spent_medium_value_payments,111.37835037299669,2023-01-01,
cus_0x137d,43655.04,,,,,3,"payday loan, auto loan, debt consolidation loan",,2,2.71,,unknown,97.41,,no,,231.21694902117784,high_spent_small_value_payments,277.03881509662745,2024-12-01,
cus_0x1382,11391.83,,,,,3,"personal loan, not specified, credit-builder loan",,19,14.02,,standard,589.97,,no,,18.57588363160864,low_spent_large_value_payments,299.3465423111908,2024-05-01,
cus_0x1383,80206.64,,,,,3,"student loan, payday loan, not specified",,16,7.0,,standard,1129.87,,yes,,522.977060264942,low_spent_medium_value_payments,173.29262651432248,2024-01-01,
cus_0x138b,34019.26,,,,,5,"mortgage loan, credit-builder loan, not specified, debt consolidation loan, auto loan",,16,6.46,,bad,1747.01,,yes,,302.52458858167387,low_spent_small_value_payments,109.07287903339659,2023-12-01,
cus_0x138d,88069.62,,,,,3,"payday loan, mortgage loan, credit-builder loan",,8,13.72,,good,1096.06,,no,,693.2090066263067,low_spent_small_value_payments,200.5150843352551,2024-11-01,
cus_0x138e,85918.76,,,,,3,"credit-builder loan, home equity loan, personal loan",,13,3.46,,good,351.62,,no,,47.314427205140525,high_spent_large_value_payments,637.6619003321427,2023-10-01,
cus_0x139b,29313.3,,,,,3,"credit-builder loan, home equity loan, not specified",,4,5.95,,good,341.96,,no,,128.96051975666418,high_spent_small_value_payments,293.99995988095543,2024-08-01,
cus_0x13a8,97059.0,,,,,0,"",,10,9.94,,good,192.99,,no,,210.61939263928315,high_spent_large_value_payments,858.905607360717,2023-01-01,
cus_0x13a9,1.9473209E7,,,,,3,"credit-builder loan, auto loan, mortgage loan",,12,2.03,,good,140.59,,no,,114.27160508723091,high_spent_medium_value_payments,505.1126390081424,2024-08-01,
cus_0x13b0,73417.48,,,,,3,"auto loan, debt consolidation loan, home equity loan",,19,14.53,,standard,2402.05,,yes,,101.07830646433807,high_spent_large_value_payments,575.3209704127573,2023-07-01,
cus_0x13b5,17931.375,,,,,3,"auto loan, not specified, mortgage loan",,8,8.3,,unknown,51.82,,no,,160.95107854737273,low_spent_small_value_payments,248.7924636901879,2024-07-01,
cus_0x13bc,10885.15,,,,,1,debt consolidation loan,,15,9.0,,standard,246.22,,yes,,36.640367339025374,low_spent_small_value_payments,307.86269801160216,2023-11-01,
cus_0x13c7,69341.52,,,,,1,not specified,,9,7.58,,standard,302.75,,no,,328.36645268010443,unknown,468.9741460897234,2024-04-01,
cus_0x13ce,18710.74,,,,,3,"payday loan, credit-builder loan, student loan",,8,5.130000000000001,,good,830.7,,no,,63.22151611825996,low_spent_large_value_payments,292.7803852639438,2024-08-01,
cus_0x13d6,94158.69,,,,,4,"credit-builder loan, mortgage loan, student loan, payday loan",,5,9.52,,good,1415.3,,no,,323.5919943178024,high_spent_small_value_payments,506.41923329175165,2023-07-01,
cus_0x13e3,143829.56,,,,,0,"",,11,10.32,,standard,269.26,,no,,301.466532893664,high_spent_large_value_payments,1114.1131337730028,2023-12-01,
cus_0x13e4,62475.56999999999,,,,,4,"mortgage loan, student loan, home equity loan, personal loan",,16,20.37,,bad,3523.03,,nm,,134.79769131162462,high_spent_large_value_payments,458.29810209502676,2025-01-01,
cus_0x13eb,9335.19,,,,,4,"mortgage loan, payday loan, student loan, credit-builder loan",,19,18.18,,standard,1860.2,,yes,,82.419545019666,low_spent_small_value_payments,250.5744376103331,2023-05-01,
cus_0x13ec,61934.52,,,,,0,"",,9,15.31,,standard,107.55,,yes,,117.10661618566105,high_spent_medium_value_payments,663.714383814339,2023-07-01,
cus_0x13ef,18666.56,,,,,3,"student loan, payday loan, credit-builder loan",,5,8.67,,unknown,770.81,,no,,106.0887435702923,low_spent_small_value_payments,257.37987904296125,2023-01-01,
cus_0x13fb,23537.54,,,,,2,"mortgage loan, auto loan",,22,7.13,,standard,174.06,,yes,,60.697820111972504,high_spent_small_value_payments,336.39004041554637,2024-11-01,
cus_0x1416,29651.23,,,,,2,"home equity loan, not specified",,15,1.6199999999999992,,standard,1217.99,,no,,36.60951815212416,high_spent_large_value_payments,411.58105887039187,2023-11-01,
cus_0x141d,44323.29,,,,,3,"mortgage loan, payday loan, auto loan",,20,19.8,,bad,3089.47,,nm,,76.5787378148963,high_spent_large_value_payments,369.9762021927155,2023-04-01,
cus_0x1425,34758.2,,,,,3,"not specified, student loan, debt consolidation loan",,7,8.81,,unknown,1005.29,,no,,167.2196210009926,low_spent_small_value_payments,341.16391373072787,2024-09-01,
cus_0x142f,17250.52,,,,,3,"personal loan, payday loan, mortgage loan",,5,4.86,,unknown,1308.31,,no,,132.80717848131528,low_spent_large_value_payments,281.1212725514202,2023-06-01,
cus_0x1431,,,,,,2,"not specified, payday loan",,16,10.27,,standard,993.71,,yes,,142.0067413867105,high_spent_medium_value_payments,787.8078281981711,2023-04-01,
cus_0x1436,167545.24,,,,,3,"personal loan, not specified, student loan",,9,4.77,,good,503.23,,no,,826.3808527932746,low_spent_small_value_payments,607.1697106573276,2024-10-01,
cus_0x1437,127921.84,,,,,3,"personal loan, credit-builder loan, debt consolidation loan",,20,13.37,,standard,1043.09,,yes,,535.5454972866727,low_spent_large_value_payments,597.6240164440902,2024-12-01,
cus_0x143c,18578.88,,,,,2,"auto loan, credit-builder loan",,12,11.87,,good,779.49,,nm,,76.61359044009538,low_spent_small_value_payments,317.0300711024904,2024-01-01,
cus_0x1441,78604.47,,,,,1,payday loan,,12,1.45,,good,1078.64,,nm,,356.090619461575,low_spent_medium_value_payments,514.3643632116126,2023-12-01,
cus_0x1447,9989.21,,,,,2,"auto loan, credit-builder loan",,14,5.81,,unknown,731.05,,no,,49.737606396845166,low_spent_small_value_payments,295.09963690917783,2024-10-01,
cus_0x144c,15948.285,,,,,3,"auto loan, student loan, payday loan",,9,3.42,,good,1068.42,,no,,29.66795636359964,high_spent_medium_value_payments,359.02120731539185,2024-03-01,
cus_0x1452,82289.36,,,,,4,"mortgage loan, payday loan, student loan, credit-builder loan",,16,18.75,,bad,4736.25,,yes,,187.50390062604055,low_spent_medium_value_payments,546.8893249386354,2023-02-01,
cus_0x1453,10682.245,,,,,3,"personal loan, student loan, mortgage loan",,18,,,unknown,1269.6,,no,,21.975508569288493,low_spent_medium_value_payments,309.00956551751966,2023-08-01,
cus_0x145a,41587.37,,,,,2,"not specified, mortgage loan",,7,2.27,,good,1353.86,,no,,45.79845680007501,high_spent_medium_value_payments,506.12304545372604,2023-01-01,
cus_0x145c,41588.74,,,,,2,"debt consolidation loan, personal loan",,6,8.95,,good,630.25,,no,,48.676018837979676,high_spent_medium_value_payments,459.55394873944266,2023-06-01,
cus_0x1463,95534.61,,,,,0,"",,14,3.92,,standard,1273.05,,nm,,229.31647183359038,high_spent_small_value_payments,832.2052781664098,2025-01-01,
cus_0x1471,31061.8,,,,,2,"credit-builder loan, payday loan",,6,6.13,,standard,157.62,,no,,36.22169526797913,high_spent_medium_value_payments,390.3465028347648,2023-08-01,
cus_0x1472,15512.055,,,,,3,"personal loan, mortgage loan, home equity loan",,9,16.95,,standard,,,yes,,182.13603131235172,low_spent_small_value_payments,202.89804891142919,2024-06-01,
cus_0x1488,7468.77,,,,,8,"credit-builder loan, student loan, mortgage loan, auto loan, payday loan, home equity loan, debt consolidation loan, not specified",,24,27.82,,unknown,2550.65,,nm,,76.66803680641287,low_spent_small_value_payments,236.99036432292942,2023-12-01,
cus_0x148e,,,,,,6,"not specified, credit-builder loan, auto loan, personal loan, student loan, home equity loan",,15,21.01,,standard,2141.86,,yes,,58.10678715144866,high_spent_medium_value_payments,279.72104510915807,2024-05-01,
cus_0x1492,9134.415,,,,,3,"payday loan, mortgage loan, student loan",,4106,13.19,,standard,1621.28,,yes,,92.90908063119731,low_spent_small_value_payments,286.25736702642604,2023-01-01,
cus_0x1498,53869.44,,,,,5,"home equity loan, mortgage loan, debt consolidation loan, student loan, personal loan",,18,24.05,,bad,4404.08,,yes,,,high_spent_medium_value_payments,292.0164258572154,2023-10-01,
cus_0x1499,100887.72,,,,,4,"credit-builder loan, home equity loan, not specified, payday loan",,14,11.92,,unknown,491.35,,no,,547.0614196151989,high_spent_small_value_payments,282.7332242413747,2025-01-01,
cus_0x149e,78156.39,,,,,4,"home equity loan, student loan, credit-builder loan, personal loan",,18,6.34,,unknown,884.79,,no,,651.1103949823222,low_spent_medium_value_payments,126.69471664774885,2023-06-01,
cus_0x14b9,30383.36,,,,,3,"home equity loan, debt consolidation loan, payday loan",,20,13.29,,standard,527.91,,yes,,339.4201152271679,low_spent_small_value_payments,171.95730400813937,2023-07-01,
cus_0x14ba,81425.24,,,,,5,"not specified, credit-builder loan, student loan, mortgage loan, home equity loan",,16,3.69,,bad,1729.78,,nm,,214.33217182218544,low_spent_large_value_payments,337.92054904709926,2023-05-01,
cus_0x14c1,130220.08,,,,,3,"home equity loan, personal loan, debt consolidation loan",,17,2.17,,standard,410.1,,yes,,282.358026649812,low_spent_large_value_payments,855.8848142192703,2023-11-01,
cus_0x14c2,67978.8,,,,,6,"mortgage loan, student loan, auto loan, not specified, credit-builder loan, home equity loan",,18,18.41,,bad,4683.95,,yes,,170.81448879553963,low_spent_medium_value_payments,387.58335522006746,2024-09-01,
